max accuracy,number of clauses,s
92.75074478649455,1000,10
90.96325719960278,1000,20
89.57298907646475,1000,30
94.83614697120159,5000,10
93.74379344587885,5000,20
93.24726911618669,5000,30
94.83614697120159,10000,10
95.13406156901688,10000,20
94.63753723932473,10000,30
94.33962264150944,20000,10
95.13406156901688,20000,20
94.73684210526315,20000,30
94.83614697120159,30000,10
94.93545183714002,30000,20
95.13406156901688,30000,30
