train accuracy,test accuracy
89.24512987012987,84.90259740259741
93.14123376623377,89.44805194805194
96.42857142857143,90.9090909090909
95.21103896103897,89.6103896103896
97.1185064935065,91.3961038961039
97.52435064935064,89.93506493506493
98.01136363636364,90.25974025974025
99.31006493506493,93.18181818181817
99.7564935064935,93.18181818181817
99.43181818181817,91.07142857142857
99.83766233766234,93.18181818181817
99.91883116883116,92.85714285714286
99.9594155844156,93.5064935064935
99.9594155844156,93.66883116883116
99.9594155844156,92.6948051948052
100.0,93.83116883116884
99.9594155844156,92.04545454545455
100.0,93.34415584415584
100.0,92.20779220779221
99.9594155844156,93.34415584415584
100.0,93.34415584415584
100.0,93.01948051948052
99.9594155844156,93.5064935064935
100.0,93.5064935064935
100.0,93.01948051948052
100.0,93.01948051948052
